,author_name,short_id,institution,share_pct,location,repec_institution_id,author_url,matched_author,match_score,matched_index
13956,"Kliem, Martin",pkl54,Deutsche Bundesbank,100,"Frankfurt, Germany",edi:dbbgvde,https://ideas.repec.org/e/pkl54.html,li li,85.5,92750
13992,"Kuka, Elira",pku394,Institute of Labor Economics (IZA),1%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/f/pku394.html,li li,85.5,92750
12079,"Hirsch, Christian",phi238,Deutsche Bundesbank,100,"Frankfurt, Germany",edi:dbbgvde,https://ideas.repec.org/f/phi238.html,tian tian,85.5,131821
11404,"Heinzel, Christian",phe856,Leibniz-Zentrum für Europäische Wirtschaftsforschung (ZEW),50%,"Mannheim, Germany",edi:zemande,https://ideas.repec.org/f/phe856.html,tian tian,85.5,131821
14059,"Kavonius, Ilja Kristian",pka298,European Central Bank,75%,"Frankfurt am Main, Germany",edi:emieude,https://ideas.repec.org/f/pka298.html,tian tian,85.5,131821
11350,"Hairault, Jean-Olivier",pha62,Paris School of Economics,100,"Paris, France",edi:eeparfr,https://ideas.repec.org/e/pha62.html,li li,85.5,92750
11345,"Heil, Philipp",phe818,ifo Institut - Leibniz-Institut für Wirtschaftsforschung an der Universität München e.V.,95%,"München, Germany",edi:ifooode,https://ideas.repec.org/f/phe818.html,li li,85.5,92750
21538,"Quaedvlieg, Rogier",pqu119,European Central Bank,100,"Frankfurt am Main, Germany",edi:emieude,https://ideas.repec.org/e/pqu119.html,li li,85.5,92750
20921,"Pasi, Giulio",ppa1369,Joint Research Centre European Commission,100,"Sevilla, Spain",edi:ipjrces,https://ideas.repec.org/f/ppa1369.html,li li,85.5,92750
6467,"de Rigo, Daniele",pde791,Joint Research Centre European Commission,100,"Ispra, Italy",edi:eejrcit,https://ideas.repec.org/f/pde791.html,de pablo valenciano jaime,85.5,173
11720,"Hernandez Guevara, Hector",phe609,Joint Research Centre European Commission,100,"Sevilla, Spain",edi:ipjrces,https://ideas.repec.org/f/phe609.html,erna erna,85.5,44485
12086,"Hirschbuehl, Dominik",phi245,Joint Research Centre European Commission,100,"Sevilla, Spain",edi:ipjrces,https://ideas.repec.org/f/phi245.html,min min,85.5,88826
13752,"Krug, Sebastian",pkr220,European Central Bank,90%,"Frankfurt am Main, Germany",edi:emieude,https://ideas.repec.org/f/pkr220.html,tian tian,85.5,131821
14578,"Leiss, Felix",ple976,ifo Institut - Leibniz-Institut für Wirtschaftsforschung an der Universität München e.V.,100,"München, Germany",edi:ifooode,https://ideas.repec.org/f/ple976.html,li li,85.5,92750
20249,"Panfili, Marco",ppa1647,Banca d'Italia,100,"Roma, Italy",edi:bdigvit,https://ideas.repec.org/f/ppa1647.html,li li,85.5,92750
11317,"Heid, Benedikt Sebastian",phe289,CESifo,1%,"München, Germany",edi:cesifde,https://ideas.repec.org/f/phe289.html,tian tian,85.5,131821
6921,"Dhuey, Elizabeth",pdh32,Institute of Labor Economics (IZA),6%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/e/pdh32.html,li li,85.5,92750
14233,"Keiler, Sebastian",pke236,Deutsche Bundesbank,100,"Frankfurt, Germany",edi:dbbgvde,https://ideas.repec.org/f/pke236.html,tian tian,85.5,131821
6938,"De Angelis, Ilaria",pde1206,Banca d'Italia,100,"Roma, Italy",edi:bdigvit,https://ideas.repec.org/f/pde1206.html,li li,85.5,92750
11275,"Holthausen, Cornelia",pho472,European Central Bank,100,"Frankfurt am Main, Germany",edi:emieude,https://ideas.repec.org/f/pho472.html,li li,85.5,92750
6031,"del Monaco, Andrea",pde1415,Banca d'Italia,100,"Roma, Italy",edi:bdigvit,https://ideas.repec.org/f/pde1415.html,robles robles mara a a del rosario fatima,85.5,1097
14239,"Koenig, Pamina",pko268,Paris School of Economics,50%,"Paris, France",edi:eeparfr,https://ideas.repec.org/f/pko268.html,min min,85.5,88826
14250,"Koenigs, Sebastian",pkn50,Institute of Labor Economics (IZA),1%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/e/pkn50.html,tian tian,85.5,131821
14292,"Kofoworola, Oyeshola",pko901,Joint Research Centre European Commission,100,"Sevilla, Spain",edi:ipjrces,https://ideas.repec.org/f/pko901.html,ye ye,85.5,107094
6979,"De Bandt, Olivier R",pde429,Banque de France,100,"Paris, France",edi:bdfgvfr,https://ideas.repec.org/f/pde429.html,li li,85.5,92750
11242,"Heckemeyer, Jost H.",phe377,Leibniz-Zentrum für Europäische Wirtschaftsforschung (ZEW),10%,"Mannheim, Germany",edi:zemande,https://ideas.repec.org/f/phe377.html,ye ye,85.5,107094
20509,"Papoutsi, Melina",ppa1336,European Central Bank,100,"Frankfurt am Main, Germany",edi:emieude,https://ideas.repec.org/f/ppa1336.html,li li,85.5,92750
7198,"de Dominicis, Laura",pde284,Joint Research Centre European Commission,100,"Sevilla, Spain",edi:ipjrces,https://ideas.repec.org/f/pde284.html,de toledo ribeiro lucas barros baptista,85.5,467
20497,"Papini, Giulio",ppa1643,Banca d'Italia,100,"Roma, Italy",edi:bdigvit,https://ideas.repec.org/f/ppa1643.html,li li,85.5,92750
12653,"Joossens, Elisabeth",pjo275,Joint Research Centre European Commission,100,"Sevilla, Spain",edi:ipjrces,https://ideas.repec.org/f/pjo275.html,li li,85.5,92750
6029,"del Mercato, Elena Laureana",pde260,Paris School of Economics,50%,"Paris, France",edi:eeparfr,https://ideas.repec.org/f/pde260.html,robles robles mara a a del rosario fatima,85.5,1097
14575,"Liu, Haoming",pli140,Institute of Labor Economics (IZA),10%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/e/pli140.html,min min,85.5,88826
7176,"de Coulon, Augustin",pde965,Institute of Labor Economics (IZA),5%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/f/pde965.html,de toledo ribeiro lucas barros baptista,85.5,467
7161,"Dick, Christian David",pdi230,Leibniz-Zentrum für Europäische Wirtschaftsforschung (ZEW),100,"Mannheim, Germany",edi:zemande,https://ideas.repec.org/f/pdi230.html,tian tian,85.5,131821
20264,"Pericoli, Filippo Maria",ppe347,Joint Research Centre European Commission,100,"Ispra, Italy",edi:eejrcit,https://ideas.repec.org/f/ppe347.html,li li,85.5,92750
7140,"de Charsonville, Louis",pde1120,Banque de France,100,"Paris, France",edi:bdfgvfr,https://ideas.repec.org/f/pde1120.html,de toledo ribeiro lucas barros baptista,85.5,467
11204,"Haefke, Christian",pha13,Institute of Labor Economics (IZA),5%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/e/pha13.html,tian tian,85.5,131821
20434,"Papanagiotou, Evangelia",ppa934,Joint Research Centre European Commission,100,"Ispra, Italy",edi:eejrcit,https://ideas.repec.org/f/ppa934.html,li li,85.5,92750
21539,"Quintana-Domeque, Climent",pqu32,Institute of Labor Economics (IZA),1%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/e/pqu32.html,li li,85.5,92750
7034,"de Bondt, Gabe",pde1011,European Central Bank,100,"Frankfurt am Main, Germany",edi:emieude,https://ideas.repec.org/f/pde1011.html,de pablo valenciano jaime,85.5,173
11078,"Goulas, Sofoklis",pgo717,Institute of Labor Economics (IZA),5%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/f/pgo717.html,li li,85.5,92750
7019,"de Blasio, Guido",pde1020,Banca d'Italia,100,"Roma, Italy",edi:bdigvit,https://ideas.repec.org/f/pde1020.html,de pablo valenciano jaime,85.5,173
16501,"Molina, Teresa",pmo1140,Institute of Labor Economics (IZA),1%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/f/pmo1140.html,li li,85.5,92750
5937,"Disdier, Anne-Celia",pdi105,Paris School of Economics,100,"Paris, France",edi:eeparfr,https://ideas.repec.org/e/pdi105.html,li li,85.5,92750
20021,"Palligkinis, Spyros",ppa987,European Central Bank,100,"Frankfurt am Main, Germany",edi:emieude,https://ideas.repec.org/f/ppa987.html,li li,85.5,92750
11333,"Heigle, Julia",phe688,Leibniz-Zentrum für Europäische Wirtschaftsforschung (ZEW),100,"Mannheim, Germany",edi:zemande,https://ideas.repec.org/f/phe688.html,li li,85.5,92750
15039,"Lane, Julia Ingrid",pla36,Institute of Labor Economics (IZA),5%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/e/pla36.html,li li,85.5,92750
20717,"Pouget, Julien",pju32,Institute of Labor Economics (IZA),10%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/e/pju32.html,li li,85.5,92750
21793,"Romanelli, Marzia",pro666,Banca d'Italia,100,"Roma, Italy",edi:bdigvit,https://ideas.repec.org/f/pro666.html,li li,85.5,92750
21866,"Revelli, Federico",pre121,CESifo,50%,"München, Germany",edi:cesifde,https://ideas.repec.org/e/pre121.html,li li,85.5,92750
7238,"Dieler, Julian",pdi325,ifo Institut - Leibniz-Institut für Wirtschaftsforschung an der Universität München e.V.,100,"München, Germany",edi:ifooode,https://ideas.repec.org/f/pdi325.html,li li,85.5,92750
12556,"Jacolin, Luc",pja407,Banque de France,100,"Paris, France",edi:bdfgvfr,https://ideas.repec.org/f/pja407.html,li li,85.5,92750
7251,"Dieppe, Alistair",pdi57,European Central Bank,100,"Frankfurt am Main, Germany",edi:emieude,https://ideas.repec.org/e/pdi57.html,li li,85.5,92750
20178,"Perez Barreiro, Emilia",ppe715,European Central Bank,100,"Frankfurt am Main, Germany",edi:emieude,https://ideas.repec.org/f/ppe715.html,li li,85.5,92750
12544,"Jehiel, Philippe",pje39,Paris School of Economics,100,"Paris, France",edi:eeparfr,https://ideas.repec.org/e/pje39.html,li li,85.5,92750
7278,"De Gaye, Annabelle",pde1430,Banque de France,100,"Paris, France",edi:bdfgvfr,https://ideas.repec.org/f/pde1430.html,ye ye,85.5,107094
20123,"Poli, Riccardo",ppo790,Banca d'Italia,100,"Roma, Italy",edi:bdigvit,https://ideas.repec.org/f/ppo790.html,li li,85.5,92750
22019,"Rakhmatullin, Ruslan",pra824,Joint Research Centre European Commission,100,"Sevilla, Spain",edi:ipjrces,https://ideas.repec.org/f/pra824.html,li li,85.5,92750
12284,"Ibrahim, Dalia Mansour",pib74,Banque de France,100,"Paris, France",edi:bdfgvfr,https://ideas.repec.org/e/pib74.html,li li,85.5,92750
14846,"Lerbs, Oliver",ple730,Leibniz-Zentrum für Europäische Wirtschaftsforschung (ZEW),100,"Mannheim, Germany",edi:zemande,https://ideas.repec.org/f/ple730.html,li li,85.5,92750
12300,"Idier, Julien",pid4,Banque de France,100,"Paris, France",edi:bdfgvfr,https://ideas.repec.org/e/pid4.html,li li,85.5,92750
14859,"Lambert-Mogiliansky, Ariane",pla300,Paris School of Economics,100,"Paris, France",edi:eeparfr,https://ideas.repec.org/f/pla300.html,li li,85.5,92750
20194,"Perez Dominguez, Ignacio",ppe843,Joint Research Centre European Commission,100,"Sevilla, Spain",edi:ipjrces,https://ideas.repec.org/f/ppe843.html,min min,85.5,88826
14862,"Lamboglia, Sara",pla1073,Banca d'Italia,100,"Roma, Italy",edi:bdigvit,https://ideas.repec.org/f/pla1073.html,li li,85.5,92750
20015,"Pereda-Fernandez, Santiago",ppe707,Banca d'Italia,1%,"Roma, Italy",edi:bdigvit,https://ideas.repec.org/f/ppe707.html,erna erna,85.5,44485
7339,"di Iasio, Giovanni",pdi375,Banca d'Italia,100,"Roma, Italy",edi:bdigvit,https://ideas.repec.org/f/pdi375.html,za di zsolt,85.5,8047
14883,"Locatelli, Andrea",plo302,Banca d'Italia,100,"Roma, Italy",edi:bdigvit,https://ideas.repec.org/f/plo302.html,li li,85.5,92750
19880,"Pliszka, Kamil",ppl112,Deutsche Bundesbank,100,"Frankfurt, Germany",edi:dbbgvde,https://ideas.repec.org/e/ppl112.html,li li,85.5,92750
19861,"Painelli, Laura",ppa1081,Banca d'Italia,100,"Roma, Italy",edi:bdigvit,https://ideas.repec.org/f/ppa1081.html,li li,85.5,92750
19825,"Pagliari, Maria Sole",ppa1183,Banque de France,100,"Paris, France",edi:bdfgvfr,https://ideas.repec.org/f/ppa1183.html,li li,85.5,92750
19816,"Page, Marianne Elizabeth",ppa539,Institute of Labor Economics (IZA),4%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/f/ppa539.html,li li,85.5,92750
5838,"Cerrito, Elio",pce103,Banca d'Italia,100,"Roma, Italy",edi:bdigvit,https://ideas.repec.org/e/pce103.html,li li,85.5,92750
14919,"Lesterquy, Pauline",ple1147,Banque de France,50%,"Paris, France",edi:bdfgvfr,https://ideas.repec.org/f/ple1147.html,li li,85.5,92750
15004,"Leuz, Christian",ple259,CESifo,1%,"München, Germany",edi:cesifde,https://ideas.repec.org/f/ple259.html,tian tian,85.5,131821
7402,"Durand, Christian Marie",pdu328,Banque de France,100,"Paris, France",edi:bdfgvfr,https://ideas.repec.org/f/pdu328.html,tian tian,85.5,131821
7420,"Durant, Dominique",pdu470,Banque de France,100,"Paris, France",edi:bdfgvfr,https://ideas.repec.org/f/pdu470.html,min min,85.5,88826
13810,"Ku, Hyejin",pku158,Institute of Labor Economics (IZA),1%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/e/pku158.html,ye ye,85.5,107094
10926,"Gerlagh, Reyer",pge153,CESifo,1%,"München, Germany",edi:cesifde,https://ideas.repec.org/e/pge153.html,ye ye,85.5,107094
6497,"Darpeix, Pierre-Emmanuel",pda716,Paris School of Economics,100,"Paris, France",edi:eeparfr,https://ideas.repec.org/f/pda716.html,pei pei,85.5,83048
15868,"Link, Sebastian",pli704,CESifo,1%,"München, Germany",edi:cesifde,https://ideas.repec.org/f/pli704.html,tian tian,85.5,131821
10709,"Gulino, Daniele",pgu869,Banca d'Italia,100,"Roma, Italy",edi:bdigvit,https://ideas.repec.org/f/pgu869.html,li li,85.5,92750
7953,"Ehrlich, Isaac",peh1,Institute of Labor Economics (IZA),33%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/e/peh1.html,li li,85.5,92750
19184,"Olivella Moppett, Virginia Maria",pol181,Banque de France,100,"Paris, France",edi:bdfgvfr,https://ideas.repec.org/e/pol181.html,li li,85.5,92750
15866,"Link, Sebastian",pli704,ifo Institut - Leibniz-Institut für Wirtschaftsforschung an der Universität München e.V.,97%,"München, Germany",edi:ifooode,https://ideas.repec.org/f/pli704.html,tian tian,85.5,131821
19218,"Ollivier, Hélène",pol123,Paris School of Economics,100,"Paris, France",edi:eeparfr,https://ideas.repec.org/e/pol123.html,li li,85.5,92750
15804,"Lee, Jungmin",ple117,Institute of Labor Economics (IZA),5%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/e/ple117.html,min min,85.5,88826
7875,"Emiliozzi, Simone",pem36,Banca d'Italia,100,"Roma, Italy",edi:bdigvit,https://ideas.repec.org/e/pem36.html,li li,85.5,92750
10469,"Gasparini, Tommaso",pga1321,Banque de France,100,"Paris, France",edi:bdfgvfr,https://ideas.repec.org/f/pga1321.html,rini rini,85.5,128900
15643,"Le Blanc, Julia",ple1048,Joint Research Centre European Commission,100,"Sevilla, Spain",edi:ipjrces,https://ideas.repec.org/f/ple1048.html,li li,85.5,92750
10527,"Gomellini, Matteo",pgo312,Banca d'Italia,100,"Roma, Italy",edi:bdigvit,https://ideas.repec.org/f/pgo312.html,li li,85.5,92750
15529,"Lozano, Fernando A.",plo228,Institute of Labor Economics (IZA),50%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/f/plo228.html,erna erna,85.5,44485
7842,"Elsner, Benjamin",pel117,Institute of Labor Economics (IZA),5%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/e/pel117.html,min min,85.5,88826
15342,"Laslier, Jean-Francois",pla39,Paris School of Economics,100,"Paris, France",edi:eeparfr,https://ideas.repec.org/e/pla39.html,li li,85.5,92750
7835,"Elsayed, Ahmed",pmo580,Institute of Labor Economics (IZA),10%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/f/pmo580.html,ye ye,85.5,107094
7805,"El Meligi, Andrea Karim",pel229,Joint Research Centre European Commission,100,"Sevilla, Spain",edi:ipjrces,https://ideas.repec.org/f/pel229.html,li li,85.5,92750
19427,"O'Higgins, Shane Niall Niall",poh9,Institute of Labor Economics (IZA),1%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/e/poh9.html,han han,85.5,114631
19520,"Oyer, Paul",poy2,Institute of Labor Economics (IZA),6%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/e/poy2.html,ye ye,85.5,107094
15117,"Langenmayr, Dominika Irma",pla562,CESifo,5%,"München, Germany",edi:cesifde,https://ideas.repec.org/f/pla562.html,min min,85.5,88826
18361,"Massier, Philipp",pma1627,Leibniz-Zentrum für Europäische Wirtschaftsforschung (ZEW),100,"Mannheim, Germany",edi:zemande,https://ideas.repec.org/f/pma1627.html,li li,85.5,92750
9833,"Grewenig, Elisabeth",pgr641,Leibniz-Zentrum für Europäische Wirtschaftsforschung (ZEW),100,"Mannheim, Germany",edi:zemande,https://ideas.repec.org/f/pgr641.html,wen wen,85.5,53627
17567,"Mariscal de Gante, Alvaro",pma2892,Joint Research Centre European Commission,100,"Sevilla, Spain",edi:ipjrces,https://ideas.repec.org/f/pma2892.html,de toledo ribeiro lucas barros baptista,85.5,467
8973,"Froelich, Markus",pfr76,Institute of Labor Economics (IZA),25%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/e/pfr76.html,li li,85.5,92750
17237,"Menno, Dominik",pme556,Deutsche Bundesbank,100,"Frankfurt, Germany",edi:dbbgvde,https://ideas.repec.org/f/pme556.html,min min,85.5,88826
8972,"Froehling, Annette",pfr410,Deutsche Bundesbank,100,"Frankfurt, Germany",edi:dbbgvde,https://ideas.repec.org/f/pfr410.html,li li,85.5,92750
9330,"Gabrieli, Silvia",pga908,Banque de France,100,"Paris, France",edi:bdfgvfr,https://ideas.repec.org/f/pga908.html,li li,85.5,92750
17226,"Moschion, Julie Armande",pmo653,Institute of Labor Economics (IZA),50%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/f/pmo653.html,li li,85.5,92750
17198,"Moscatelli, Mirko",pmo1539,Banca d'Italia,100,"Roma, Italy",edi:bdigvit,https://ideas.repec.org/f/pmo1539.html,li li,85.5,92750
8954,"Fritsche, Jan Philipp",pfr406,European Central Bank,10%,"Frankfurt am Main, Germany",edi:emieude,https://ideas.repec.org/f/pfr406.html,li li,85.5,92750
17663,"Meyer, Justus",pme729,ifo Institut - Leibniz-Institut für Wirtschaftsforschung an der Universität München e.V.,100,"München, Germany",edi:ifooode,https://ideas.repec.org/f/pme729.html,ye ye,85.5,107094
7746,"Elleby, Christian",pel123,Joint Research Centre European Commission,100,"Sevilla, Spain",edi:ipjrces,https://ideas.repec.org/e/pel123.html,tian tian,85.5,131821
15205,"Leyden, Benjamin Thomas",ple997,CESifo,10%,"München, Germany",edi:cesifde,https://ideas.repec.org/f/ple997.html,min min,85.5,88826
9448,"Giacomelli, Silvia",pgi388,Banca d'Italia,100,"Roma, Italy",edi:bdigvit,https://ideas.repec.org/f/pgi388.html,li li,85.5,92750
7550,"Duval-Hernandez, Robert",pdu156,Institute of Labor Economics (IZA),5%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/e/pdu156.html,erna erna,85.5,44485
15046,"Lane, Philip Richard",pla15,European Central Bank,49%,"Frankfurt am Main, Germany",edi:emieude,https://ideas.repec.org/e/pla15.html,li li,85.5,92750
8378,"Falck, Oliver",pfa153,ifo Institut - Leibniz-Institut für Wirtschaftsforschung an der Universität München e.V.,90%,"München, Germany",edi:ifooode,https://ideas.repec.org/e/pfa153.html,li li,85.5,92750
8372,"Falck, Elisabeth",pfa570,Deutsche Bundesbank,100,"Frankfurt, Germany",edi:dbbgvde,https://ideas.repec.org/f/pfa570.html,li li,85.5,92750
18477,"Nikolov, Kalin Ognianov",pni175,European Central Bank,100,"Frankfurt am Main, Germany",edi:emieude,https://ideas.repec.org/e/pni175.html,li li,85.5,92750
9965,"Grislain-Letremy, Celine",pgr746,Banque de France,50%,"Paris, France",edi:bdfgvfr,https://ideas.repec.org/f/pgr746.html,li li,85.5,92750
10020,"Groeschl, Jasmin Katrin",pgr405,CESifo,50%,"München, Germany",edi:cesifde,https://ideas.repec.org/f/pgr405.html,min min,85.5,88826
10021,"Groeschl, Jasmin Katrin",pgr405,ifo Institut - Leibniz-Institut für Wirtschaftsforschung an der Universität München e.V.,50%,"München, Germany",edi:ifooode,https://ideas.repec.org/f/pgr405.html,min min,85.5,88826
8347,"Fakih, Ali",pfa331,Institute of Labor Economics (IZA),2%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/f/pfa331.html,li li,85.5,92750
10023,"Glielmo, Aldo",pgl101,Banca d'Italia,100,"Roma, Italy",edi:bdigvit,https://ideas.repec.org/e/pgl101.html,li li,85.5,92750
8342,"Foster, Gillian Joanne",pfo368,Joint Research Centre European Commission,100,"Sevilla, Spain",edi:ipjrces,https://ideas.repec.org/f/pfo368.html,li li,85.5,92750
16354,"Magrini, Chiara",pma3221,Joint Research Centre European Commission,100,"Sevilla, Spain",edi:ipjrces,https://ideas.repec.org/f/pma3221.html,rini rini,85.5,128900
18674,"Nobili, Andrea",pno140,Banca d'Italia,100,"Roma, Italy",edi:bdigvit,https://ideas.repec.org/e/pno140.html,li li,85.5,92750
9923,"Giuliano, Paola",pgi66,Institute of Labor Economics (IZA),4%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/e/pgi66.html,li li,85.5,92750
15869,"Link, Sebastian",pli704,Institute of Labor Economics (IZA),1%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/f/pli704.html,tian tian,85.5,131821
10352,"Garnier, Olivier",pga1050,Banque de France,100,"Paris, France",edi:bdfgvfr,https://ideas.repec.org/f/pga1050.html,li li,85.5,92750
10744,"Geiger, Felix",pge132,Deutsche Bundesbank,100,"Frankfurt, Germany",edi:dbbgvde,https://ideas.repec.org/e/pge132.html,li li,85.5,92750
19560,"Ozier, Owen Whitfield",poz63,Institute of Labor Economics (IZA),5%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/e/poz63.html,wen wen,85.5,53627
19602,"Ozyurt, Selin",pzy4,European Central Bank,100,"Frankfurt am Main, Germany",edi:emieude,https://ideas.repec.org/e/pzy4.html,yu yu,85.5,61208
10762,"Gunduz, Yalin",pgn13,Deutsche Bundesbank,100,"Frankfurt, Germany",edi:dbbgvde,https://ideas.repec.org/e/pgn13.html,li li,85.5,92750
17388,"Merkl, Christian",pme146,Institute of Labor Economics (IZA),2%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/e/pme146.html,tian tian,85.5,131821
19606,"Piroli, Giuseppe",ppi288,Joint Research Centre European Commission,9%,"Sevilla, Spain",edi:ipjrces,https://ideas.repec.org/f/ppi288.html,li li,85.5,92750
10770,"Gonzalez, Olivier",pgo853,Banque de France,100,"Paris, France",edi:bdfgvfr,https://ideas.repec.org/f/pgo853.html,li li,85.5,92750
19643,"Pisani, Massimiliano",ppi119,Banca d'Italia,100,"Roma, Italy",edi:bdigvit,https://ideas.repec.org/e/ppi119.html,li li,85.5,92750
15135,"Levy, Dominique",plv1,Paris School of Economics,100,"Paris, France",edi:eeparfr,https://ideas.repec.org/e/plv1.html,min min,85.5,88826
7569,"de la Serve, Marie-Elisabeth",pde884,Banque de France,100,"Paris, France",edi:bdfgvfr,https://ideas.repec.org/f/pde884.html,de moortel deborah,85.5,1477
19657,"Piselli, Paolo",ppi227,Banca d'Italia,100,"Roma, Italy",edi:bdigvit,https://ideas.repec.org/f/ppi227.html,li li,85.5,92750
15126,"London, Melina",plo595,Joint Research Centre European Commission,50%,"Sevilla, Spain",edi:ipjrces,https://ideas.repec.org/f/plo595.html,li li,85.5,92750
10795,"Gonzalez Evangelista, Manuel",pgo937,Joint Research Centre European Commission,100,"Sevilla, Spain",edi:ipjrces,https://ideas.repec.org/f/pgo937.html,li li,85.5,92750
10826,"Genty, Aurelien",pge319,Joint Research Centre European Commission,100,"Sevilla, Spain",edi:ipjrces,https://ideas.repec.org/f/pge319.html,li li,85.5,92750
9419,"Gagnepain, Philippe",pga194,Paris School of Economics,100,"Paris, France",edi:eeparfr,https://ideas.repec.org/e/pga194.html,li li,85.5,92750
8380,"Falck, Oliver",pfa153,CESifo,2%,"München, Germany",edi:cesifde,https://ideas.repec.org/e/pfa153.html,li li,85.5,92750
17753,"Miccoli, Marcello",pmi709,Banca d'Italia,100,"Roma, Italy",edi:bdigvit,https://ideas.repec.org/f/pmi709.html,li li,85.5,92750
18116,"Murard, Elie",pmu698,Institute of Labor Economics (IZA),50%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/f/pmu698.html,li li,85.5,92750
16580,"Makinen, Taneli",pmk6,Banca d'Italia,100,"Roma, Italy",edi:bdigvit,https://ideas.repec.org/e/pmk6.html,li li,85.5,92750
18143,"Muravyev, Alexander",pmu68,Institute of Labor Economics (IZA),10%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/e/pmu68.html,ye ye,85.5,107094
9807,"Grenet, Julien",pgr290,Paris School of Economics,100,"Paris, France",edi:eeparfr,https://ideas.repec.org/f/pgr290.html,li li,85.5,92750
9820,"Gretschko, Vitali",pgr766,Leibniz-Zentrum für Europäische Wirtschaftsforschung (ZEW),50%,"Mannheim, Germany",edi:zemande,https://ideas.repec.org/f/pgr766.html,li li,85.5,92750
18213,"Millimet, Daniel L.",pmi3,Institute of Labor Economics (IZA),1%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/e/pmi3.html,li li,85.5,92750
18233,"Marx, Magali",pma1166,Banque de France,100,"Paris, France",edi:bdfgvfr,https://ideas.repec.org/f/pma1166.html,li li,85.5,92750
18279,"Muscatelli, Vito Antonio",pmu60,CESifo,50%,"München, Germany",edi:cesifde,https://ideas.repec.org/e/pmu60.html,li li,85.5,92750
8691,"Freier, Maximilian A.",pfr355,European Central Bank,100,"Frankfurt am Main, Germany",edi:emieude,https://ideas.repec.org/f/pfr355.html,li li,85.5,92750
16948,"Melina, Giovanni",pme403,CESifo,1%,"München, Germany",edi:cesifde,https://ideas.repec.org/f/pme403.html,li li,85.5,92750
16607,"Mongelli, Francesco Paolo",pmo60,European Central Bank,100,"Frankfurt am Main, Germany",edi:emieude,https://ideas.repec.org/e/pmo60.html,li li,85.5,92750
8737,"Fiorentino, Elisabetta",pfi94,Deutsche Bundesbank,100,"Frankfurt, Germany",edi:dbbgvde,https://ideas.repec.org/e/pfi94.html,li li,85.5,92750
9608,"Giesen, Sebastian",pgi196,Deutsche Bundesbank,100,"Frankfurt, Germany",edi:dbbgvde,https://ideas.repec.org/e/pgi196.html,tian tian,85.5,131821
9625,"Giglioli, Simona",pgi464,Banca d'Italia,80%,"Roma, Italy",edi:bdigvit,https://ideas.repec.org/f/pgi464.html,li li,85.5,92750
16798,"Moracci, Elia",pmo1538,Banca d'Italia,100,"Roma, Italy",edi:bdigvit,https://ideas.repec.org/f/pmo1538.html,li li,85.5,92750
9670,"Gil-Hernandez, Carlos J.",pgi432,Joint Research Centre European Commission,100,"Sevilla, Spain",edi:ipjrces,https://ideas.repec.org/f/pgi432.html,erna erna,85.5,44485
17821,"Micheli, Martin",pmi515,Deutsche Bundesbank,100,"Frankfurt, Germany",edi:dbbgvde,https://ideas.repec.org/f/pmi515.html,li li,85.5,92750
16764,"Maloney, William F.",pma705,Institute of Labor Economics (IZA),26%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/f/pma705.html,li li,85.5,92750
9689,"Greco, Rosalia",pgr813,Banca d'Italia,95%,"Roma, Italy",edi:bdigvit,https://ideas.repec.org/f/pgr813.html,li li,85.5,92750
9705,"Green, Colin Peter",pgr104,Institute of Labor Economics (IZA),1%,"Bonn, Germany",edi:izaaade,https://ideas.repec.org/e/pgr104.html,li li,85.5,92750
